Full Name,Fighter_Id,Nickname,Ht.,Wt.,Reach,Stance,W,L,D,Belt
Tristan Arenal,9c9455912d917e4e,No Nickname,,155.0,,Orthodox,7,4,0,False
Gabriel Arges,db3c4a884d704efe,No Nickname,,170.0,,Orthodox,0,0,0,False
Dan Argueta,e4ba58725825412d,The Determined,5.7,135.0,68.0,Southpaw,9,3,0,False
Reza Arianto,90063913321e7670,The Crazy Lion,,155.0,,Orthodox,5,0,0,False
Hashem Arkhagha,9a7ffa80766caa51,No Nickname,6.2,185.0,75.0,Orthodox,6,1,0,False
Andrei Arlovski,3738e68d2261e60f,The Pitbull,6.3,240.0,77.0,Orthodox,34,24,0,False
Garrett Armfield,1effd880e1f1bb30,No Nickname,5.6,135.0,70.0,Orthodox,10,5,0,False
Joey Armstrong,30ad2050273d016a,No Nickname,,,,Orthodox,5,2,0,False
Austin Arnett,bf0e700106d00e55,No Nickname,6.0,145.0,72.0,Orthodox,16,6,0,False
Ricardo Arona,05fbfe628658c538,The Brazilian Tiger,5.11,205.0,,Orthodox,14,5,0,False
Eli Aronov,a90c200c3fbb22c4,The Israeli Tank,5.1,185.0,72.0,Orthodox,6,1,0,False
Chalid Arrab,770b9d4813c25902,Die Faust,5.11,205.0,,Orthodox,7,3,0,False
Akbarh Arreola,c136b2a8852da5bd,El Caballero,5.1,155.0,71.0,Southpaw,23,11,1,False
Matt Arroyo,de62052b2ede65ba,No Regard,5.1,170.0,72.0,Orthodox,3,3,0,False
Antonio Arroyo,61fb8098ccf81c7f,No Nickname,6.3,185.0,73.0,Orthodox,9,5,0,False
Gilles Arsene,2dea80c069847321,No Nickname,5.9,190.0,,Southpaw,1,1,0,False
Veta Arteaga,91e3388e69060e69,No Nickname,5.7,125.0,,Orthodox,3,1,0,False
Cesar Arzamendia,49f78022126bf4a4,Goku,5.11,155.0,,Orthodox,8,3,0,False
Kai Asakura,d33da8a3d82bdb62,No Nickname,5.8,125.0,69.0,Orthodox,21,6,0,False
Teddy Ash,a373085066dbfb54,Bear,6.1,185.0,73.0,Switch,14,5,0,False
Arman Ashimov,d26a0988c9dc9886,Mustafa Ozturik,5.6,125.0,,Orthodox,11,3,1,False
Yanal Ashmouz,c739c2995a275314,Red Fox,5.9,155.0,69.0,Orthodox,8,2,0,False
 Asjabharan,8be9deb7d6b36354,No Nickname,5.6,135.0,,Orthodox,7,6,0,False
Askar Askar,2abc414136504554,AK-47,5.7,145.0,69.0,Orthodox,11,1,0,False
Askar Askarov,b1d19449397541dc,Bullet,5.6,125.0,67.0,Orthodox,14,1,1,False
Cyril Asker,9be6020024133293,Silverback,6.0,247.0,74.0,Orthodox,9,4,0,False
Khusein Askhabov,5c10da56d712ac9c,Nohcho,5.8,145.0,69.0,Orthodox,23,1,0,False
Scott Askham,06827d70c53ff0d9,No Nickname,6.3,185.0,75.0,Southpaw,14,4,0,False
Ben Askren,0b31f87be71ebbb1,Funky,5.11,170.0,73.0,Orthodox,19,2,0,False
Ibo Aslan,6e8f1bcdda94ff45,The Last Ottoman,6.3,205.0,77.0,Orthodox,14,4,0,False
Tom Aspinall,399afbabc02376b5,No Nickname,6.5,255.0,78.0,Orthodox,15,3,0,True
Steven Asplund,e56cee1ad697db04,Concrete,6.5,261.0,78.0,Orthodox,6,1,0,False
Bruno Assis,ff222167cce02919,Brunao,6.2,185.0,,Orthodox,8,4,0,False
Junior Assuncao,d0d7160824278840,No Nickname,5.9,145.0,72.0,Orthodox,16,6,0,False
Raphael Assuncao,2f13e4020cea5b38,No Nickname,5.5,135.0,66.0,Orthodox,28,10,0,False
Michael Aswell Jr.,01c9e4013afce141,The Texas Kid,5.8,145.0,69.0,Orthodox,11,3,0,False
Bazigit Atajev,fd7acf42bd6e7e95,Volk,6.1,230.0,,Orthodox,17,1,0,False
Rich Attonito,210935fd21670f6d,The Raging Bull,5.1,170.0,72.0,Orthodox,10,5,0,False
Olivier Aubin-Mercier,55ee431411ccf07a,The Canadian Gangster,5.9,155.0,70.0,Southpaw,11,5,0,False
Pat Audinwood,196ed28337adc630,Awesomely Awesome,6.0,155.0,,Orthodox,11,2,1,False
Jose Augusto,4d3b08ab127c7585,Gugu,6.3,251.0,,Orthodox,6,2,0,False
Marcus Aurelio,04643fd03d9159cc,Maximus,5.1,155.0,74.0,Orthodox,22,10,0,False
David Avellan,956dcac65e7b34d6,No Nickname,5.9,185.0,,Orthodox,2,1,0,False
Blas Avena,8753e125f4499816,The Disciple,6.0,170.0,74.0,Orthodox,8,7,0,False
Levi Avera,ba5c6eeb8ef45f5c,No Nickname,6.1,170.0,,Orthodox,18,15,0,False
Anthony Avila,033d19259f589457,No Nickname,5.7,145.0,,Orthodox,13,5,0,False
Chris Avila,4665cbf36b08193b,No Nickname,5.1,145.0,,Orthodox,5,4,0,False
