Fighter_Id,Full Name,Nickname,Ht.,Wt.,Stance,W,L,D,Belt,Avg Rounds,Avg Fight Time,KD,STR,TD,SUB,Ctrl,Sig. Str. %,Head_%,Body_%,Leg_%,Distance_%,Clinch_%,Ground_%,Sub. Att,Rev.,Weight_Class,Gender,Fighting Style
17e97649403ba428,Joshua Van,The Fearless,5.5,125.0,Orthodox,16,2,0,True,2.7,745.8,0.2,93.5,0.7,0.1,52.1,0.48,0.4,0.76,0.8,0.46,0.69,0.24,0.1,0.0,Flyweight,Male,Striker
2ee09ec2a0695eb9,Mike van Arsdale,No Nickname,6.2,205.0,Switch,8,5,0,False,2.0,588.5,0.0,17.5,0.75,0.25,177.0,0.34,0.26,0.44,0.39,0.19,0.28,0.34,0.25,0.25,Heavyweight,Male,Hybrid
7b39035fae7268b8,Matt Van Buren,Gutter,6.5,205.0,Orthodox,7,6,0,False,2.0,396.0,0.5,34.0,0.0,0.0,104.0,0.33,0.26,0.93,0.25,0.29,0.43,0.25,0.0,0.0,Light Heavyweight,Male,Hybrid
23ab42947c1990e3,Ron van Clief,The Black Dragon,5.1,190.0,Orthodox,0,1,0,False,1.0,229.0,0.0,0.0,0.0,0.0,18.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Open Weight,Male,No Clear Style
87e2468b986ebb79,Cameron VanCamp,Jumpman,6.2,155.0,Switch,15,7,1,False,1.0,192.0,0.0,17.0,0.0,0.0,0.0,0.49,0.37,0.54,1.0,0.5,0.0,0.0,0.0,0.0,Lightweight,Male,Hybrid
2b68d9f125d07b42,Jared Vanderaa,No Nickname,6.4,265.0,Orthodox,12,10,0,False,2.43,694.86,0.14,54.0,0.0,0.0,34.71,0.48,0.33,0.83,0.81,0.45,0.83,0.11,0.0,0.0,Heavyweight,Male,Hybrid
32c3ee378671a5d9,Austin Vanderford,The Gentleman,5.11,170.0,Orthodox,13,3,0,False,2.0,498.5,0.0,5.0,1.5,0.0,101.5,0.29,0.14,0.3,1.0,0.26,0.0,0.5,0.0,0.0,Catch Weight,Male,Hybrid
f9b200db02b488d9,Lando Vannata,Groovy,5.9,155.0,Orthodox,12,7,2,False,2.46,699.15,0.46,60.62,1.0,0.31,73.92,0.49,0.39,0.61,0.77,0.47,0.57,0.25,0.31,0.0,Featherweight,Male,Striker
4d5197f331c47290,Paige VanZant,12 Gauge,5.4,115.0,Orthodox,8,5,0,False,2.56,627.67,0.11,31.56,1.0,1.11,204.44,0.53,0.53,0.54,0.75,0.44,0.5,0.51,1.11,0.33,Women's Flyweight,Female,Wrestler
07a18ae55dfc3cd9,Paul Varelans,The Polar Bear,6.8,300.0,Orthodox,9,9,0,False,1.0,288.38,0.12,7.0,0.25,0.38,171.72,0.6,0.39,0.44,0.3,0.22,0.44,0.34,0.38,0.0,Open Weight,Male,Hybrid
ec18eb918121787c,Kazula Vargas,No Nickname,5.8,155.0,Southpaw,12,5,0,False,2.0,567.75,0.0,33.75,1.0,0.25,285.25,0.56,0.49,0.71,0.65,0.43,0.9,0.98,0.25,0.25,Lightweight,Male,Striker
a54fc2d6fc224dc3,Jamie Varner,No Nickname,5.8,155.0,Orthodox,21,11,1,False,2.0,504.0,0.22,27.33,1.56,0.56,133.11,0.42,0.32,0.54,0.66,0.42,0.47,0.52,0.56,0.33,Lightweight,Male,Wrestler
d6d5da3c209884bc,Guilherme Vasconcelos,Bomba,6.0,185.0,Orthodox,9,4,0,False,3.0,900.0,0.0,49.0,0.0,0.0,0.0,0.29,0.21,0.47,0.92,0.29,0.5,0.0,0.0,0.0,Middleweight,Male,Hybrid
4679a38cced7c64a,Yuri Vaulin,No Nickname,6.4,197.0,Southpaw,0,1,0,False,2.0,480.0,0.0,1.0,0.0,0.0,131.75,0.2,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.0,Lightweight,Male,No Clear Style
be5cfd73617a5b1a,Javier Vazquez,Showtime,5.7,145.0,Southpaw,16,5,0,False,3.0,900.0,0.0,27.0,0.0,1.0,81.0,0.35,0.29,0.6,0.75,0.36,0.0,0.0,1.0,0.0,Featherweight,Male,Hybrid
5731cc327790b731,Matt Veach,No Nickname,5.11,155.0,Orthodox,17,5,0,False,1.67,411.67,0.33,7.67,1.67,0.67,117.0,0.34,0.35,0.33,0.33,0.28,0.26,0.33,0.67,0.0,Lightweight,Male,Hybrid
